day,customer_id,customer_type,total_sales
2018-01-03,5767393740,Returning,228.630
2018-01-03,266872389657,First-time,28.410
2018-01-03,5786940364,Returning,-29.900
2018-01-03,4146314054,Returning,199.900
2018-01-03,266240294937,First-time,75.620
2018-01-03,5940615564,Returning,132.910
2018-01-03,3505249478,Returning,118.930
2018-01-03,266286039065,Returning,47.000
2018-01-03,6583426252,Returning,52.250
2018-01-03,154990116889,Returning,115.140
2018-01-03,6127707276,Returning,36.100
2018-01-03,47675047961,Returning,26.200
2018-01-03,266554540057,First-time,39.100
2018-01-03,5650993996,Returning,115.140
2018-01-03,266815307801,First-time,28.240
2018-01-03,266759208985,First-time,39.800
2018-01-03,5644568780,Returning,238.300
2018-01-03,134746341401,Returning,80.370
2018-01-03,5988149132,Returning,50.780
2018-01-03,3464097094,Returning,27.150
2018-01-03,4129443078,Returning,242.700
2018-01-03,6414895756,Returning,145.440
2018-01-03,6538877068,Returning,115.030
2018-01-03,266672308249,First-time,49.900
2018-01-03,217802965017,Returning,40.560
2018-01-03,5978082188,Returning,42.800
2018-01-03,5505808844,Returning,203.990
2018-01-03,6491274828,Returning,245.100
2018-01-03,6044797644,Returning,28.410
2018-01-03,6508975820,Returning,50.470
2018-01-03,129320943641,Returning,37.850
2018-01-03,82617565209,Returning,75.050
2018-01-03,5724559628,Returning,102.890
2018-01-03,193240432665,Returning,177.460
2018-01-03,4509554182,Returning,168.940
2018-01-03,85168914457,Returning,75.700
2018-01-03,165912576025,Returning,131.000
2018-01-03,5003553996,Returning,94.300
2018-01-03,6566082892,Returning,75.000
2018-01-03,266847027225,First-time,48.900
2018-01-03,6232735436,Returning,36.970
2018-01-03,4004154310,Returning,227.210
2018-01-03,5231732748,Returning,115.140
2018-01-03,266378903577,First-time,75.050
2018-01-03,6604955724,Returning,28.410
2018-01-03,6687290700,Returning,27.600
2018-01-03,6500949388,Returning,60.370
2018-01-03,266581245977,First-time,39.800
2018-01-03,258146336793,Returning,113.620
2018-01-03,167273037849,Returning,39.800
2018-01-03,222111105049,Returning,32.610
2018-01-03,30828199961,Returning,85.500
2018-01-03,4981832012,Returning,36.000
2018-01-04,267083317273,First-time,86.930
2018-01-04,6021915596,Returning,62.700
2018-01-04,14092697625,Returning,113.500
2018-01-04,251479883801,Returning,-1.300
2018-01-04,201141616665,Returning,94.600
2018-01-04,4048758470,Returning,98.900
2018-01-04,5971241548,Returning,115.500
2018-01-04,4888732300,Returning,283.700
2018-01-04,268159418393,First-time,99.800
2018-01-04,268213714969,First-time,42.650
2018-01-04,268097060889,First-time,38.100
2018-01-04,154823229465,Returning,42.800
2018-01-04,175516123161,Returning,59.060
2018-01-04,267991875609,First-time,127.000
2018-01-04,5081874572,Returning,46.280
2018-01-04,162792833049,Returning,76.050
2018-01-04,28637167641,Returning,44.000
2018-01-04,267984764953,First-time,94.500
2018-01-04,6163158092,Returning,199.900
2018-01-04,29795319833,Returning,100.370
2018-01-04,98126757913,Returning,230.400
2018-01-04,113730322457,Returning,69.900
2018-01-04,6347404620,Returning,72.200
2018-01-04,6505197516,Returning,121.200
2018-01-04,4109704518,Returning,68.300
2018-01-04,268025298969,Returning,160.950
2018-01-04,267734777881,First-time,51.960
2018-01-04,5352483788,Returning,70.000
2018-01-04,268040568857,First-time,0.000
2018-01-04,4155070598,Returning,76.280
2018-01-04,267154292761,First-time,55.410
2018-01-04,33431060505,Returning,48.000
2018-01-04,256831979545,Returning,78.300
2018-01-04,5296547596,Returning,31.070
2018-01-04,4608203270,Returning,54.900
2018-01-04,255773147161,Returning,-31.250
2018-01-04,6300100236,Returning,94.500
2018-01-04,268018679833,First-time,103.460
2018-01-04,6123166284,Returning,107.700
2018-01-04,268059344921,First-time,69.500
2018-01-04,266900766745,First-time,138.610
2018-01-04,6227664460,Returning,26.620
2018-01-04,6161272844,Returning,224.500
2018-01-04,268025298969,First-time,160.950
2018-01-04,6558001356,Returning,38.400
2018-01-04,3495286854,Returning,33.400
2018-01-04,103502020633,Returning,90.630
2018-01-04,199532806169,Returning,28.000
2018-01-04,109737345049,Returning,29.700
2018-01-04,116450689049,Returning,139.350
2018-01-04,2653738822,Returning,49.900
2018-01-04,4036821126,Returning,84.800
2018-01-04,4050943174,Returning,-5.700
2018-01-04,42396844057,Returning,0.000
2018-01-04,148195278873,Returning,28.200
2018-01-04,100437491737,Returning,28.220
2018-01-04,6344382092,Returning,135.120
2018-01-04,151220060185,Returning,132.600
2018-01-04,134452838425,Returning,145.400
2018-01-04,6505468300,Returning,-22.500
2018-01-04,125182935065,Returning,26.300
2018-01-04,267758239769,First-time,25.180
2018-01-04,6174044300,Returning,154.850
2018-01-04,4026153606,Returning,189.910
2018-01-04,145649532953,Returning,85.600
2018-01-05,4636006086,Returning,100.600
2018-01-05,5935171532,Returning,-16.800
2018-01-05,5814602380,Returning,282.820
2018-01-05,103502020633,Returning,76.100
2018-01-05,5498045388,Returning,28.100
2018-01-05,90067632153,Returning,34.550
2018-01-05,152166367257,Returning,99.900
2018-01-05,5418975372,Returning,81.060
2018-01-05,268964397081,First-time,107.520
2018-01-05,6547958796,Returning,-49.500
2018-01-05,185139724313,Returning,59.800
2018-01-05,6396928332,Returning,44.910
2018-01-05,269478232089,First-time,51.900
2018-01-05,268866420761,First-time,59.700
2018-01-05,6468780876,Returning,147.150
2018-01-05,4050943174,Returning,80.710
2018-01-05,5446168908,Returning,32.000
2018-01-05,156015951897,Returning,38.100
2018-01-05,269602422809,First-time,29.070
2018-01-05,164615225369,First-time,63.820
2018-01-05,5740482892,Returning,45.680
2018-01-05,268265881625,First-time,62.400
2018-01-05,6304494348,Returning,72.690
2018-01-05,130785411097,Returning,115.140
2018-01-05,199532806169,Returning,32.000
2018-01-05,3360288518,Returning,27.200
2018-01-05,6222405388,Returning,46.810
2018-01-05,15027306521,Returning,38.400
2018-01-05,269235191833,First-time,54.500
2018-01-05,6645801996,Returning,97.190
2018-01-05,168039448601,Returning,66.450
2018-01-05,159215779865,Returning,208.400
2018-01-05,269266878489,First-time,29.900
2018-01-05,269219561497,First-time,45.320
2018-01-05,6412161804,Returning,105.760
2018-01-05,106230317081,Returning,43.900
2018-01-05,86577119257,Returning,52.400
2018-01-05,5439119116,Returning,0.000
2018-01-05,94347886617,Returning,74.900
2018-01-05,248878268441,Returning,26.400
2018-01-05,133764481049,Returning,134.900
2018-01-05,145926291481,Returning,63.400
2018-01-05,269060145177,First-time,121.200
2018-01-05,3894093830,Returning,95.850
2018-01-05,4783678092,Returning,71.250
2018-01-05,4301750854,Returning,30.700
2018-01-06,270588313625,First-time,49.670
2018-01-06,225126678553,First-time,52.850
2018-01-06,159179440153,Returning,83.000
2018-01-06,6137597708,Returning,42.800
2018-01-06,5093776524,Returning,76.000
2018-01-06,5075376012,Returning,27.800
2018-01-06,159269093401,Returning,47.500
2018-01-06,270827847705,First-time,46.150
2018-01-06,149725085721,Returning,168.500
2018-01-06,271090024473,First-time,129.580
2018-01-06,4750324492,Returning,129.300
2018-01-06,270520418329,First-time,79.000
2018-01-06,222917459993,Returning,54.210
2018-01-06,132247126041,Returning,58.620
2018-01-06,4301750854,Returning,27.190
2018-01-06,8957231129,Returning,48.700
2018-01-06,5982276428,Returning,373.600
2018-01-06,126699700249,Returning,42.000
2018-01-06,270733082649,First-time,143.740
2018-01-06,6197601868,Returning,349.300
2018-01-06,6231276364,Returning,111.200
2018-01-06,192886407193,Returning,30.020
2018-01-06,128290553881,Returning,58.800
2018-01-06,5320345740,Returning,30.930
2018-01-06,270922809369,First-time,136.750
2018-01-06,6615901900,Returning,198.900
2018-01-06,71571701785,Returning,79.600
2018-01-06,178400165913,Returning,26.170
2018-01-06,129640235033,Returning,60.700
2018-01-06,270882603033,First-time,36.440
2018-01-06,4061248006,Returning,59.000
2018-01-06,199322632217,Returning,31.600
2018-01-06,243196657689,Returning,45.760
2018-01-06,4051683782,Returning,399.800
2018-01-06,247129309209,Returning,122.300
2018-01-06,270536015897,Returning,144.900
2018-01-06,183562338329,Returning,26.300
2018-01-06,4527801542,Returning,25.520
2018-01-06,4797097420,Returning,27.830
2018-01-06,5927218764,Returning,91.700
2018-01-06,265332326425,Returning,29.900
2018-01-06,271036416025,Returning,96.940
2018-01-06,260005593113,First-time,75.980
2018-01-06,270786789401,First-time,76.000
2018-01-06,3860598214,Returning,29.300
2018-01-06,3422128326,Returning,25.650
2018-01-06,210888753177,Returning,99.000
2018-01-06,118813327385,Returning,55.660
2018-01-06,6570804172,Returning,78.230
2018-01-06,270757396505,First-time,57.950
2018-01-06,5568685388,Returning,135.900
2018-01-06,5306300108,Returning,357.660
2018-01-06,270577696793,First-time,0.000
2018-01-06,271021375513,First-time,175.500
2018-01-06,174260650009,Returning,134.900
2018-01-07,5892212748,Returning,118.000
2018-01-07,81755668505,Returning,199.000
2018-01-07,4507624326,Returning,93.600
2018-01-07,272536535065,First-time,43.700
2018-01-07,272132538393,First-time,36.000
2018-01-07,270786789401,Returning,34.000
2018-01-07,139391172633,Returning,231.830
2018-01-07,141704822809,Returning,36.990
2018-01-07,272179691545,First-time,25.680
2018-01-07,271993503769,First-time,27.980
2018-01-07,231055884313,Returning,71.900
2018-01-07,5324686540,Returning,72.000
2018-01-07,270648836121,First-time,28.410
2018-01-07,272178806809,First-time,199.690
2018-01-07,3859097734,Returning,26.350
2018-01-07,12722012185,Returning,121.300
2018-01-07,5460754380,Returning,129.000
2018-01-07,6294070860,Returning,165.200
2018-01-07,271076589593,First-time,46.170
2018-01-07,115218448409,Returning,175.920
2018-01-07,6120023372,Returning,95.300
2018-01-07,272363126809,First-time,452.100
2018-01-07,272109371417,First-time,34.000
2018-01-07,109612040217,Returning,134.900
2018-01-07,272315842585,First-time,42.800
2018-01-07,5505475980,Returning,175.650
2018-01-07,250340376601,Returning,37.620
2018-01-07,245785591833,Returning,66.220
2018-01-07,5401489676,Returning,55.000
2018-01-07,6076763532,Returning,158.130
2018-01-07,77190660121,Returning,95.000
2018-01-07,6252032076,Returning,27.980
2018-01-07,4855022028,Returning,189.910
2018-01-07,272376594457,First-time,126.000
2018-01-07,272256565273,First-time,30.950
2018-01-07,5314031756,Returning,265.800
2018-01-07,272181690393,First-time,57.000
2018-01-07,233399713817,Returning,71.110
2018-01-07,271985803289,Returning,311.900
2018-01-07,6125566540,Returning,43.040
2018-01-07,6287680396,Returning,52.360
2018-01-07,221877272601,First-time,39.300
2018-01-07,5432681804,Returning,182.000
2018-01-07,90511671321,Returning,132.600
2018-01-07,5607831308,Returning,123.500
2018-01-07,42654367769,Returning,44.000
2018-01-07,6693569868,Returning,79.800
2018-01-07,3462051462,Returning,199.900
2018-01-07,154391773209,Returning,66.500
2018-01-07,258531590169,Returning,72.610
2018-01-07,241199939609,Returning,53.800
2018-01-07,114065014809,Returning,106.110
2018-01-07,253559308313,Returning,240.600
2018-01-08,192741539865,Returning,79.500
2018-01-08,201978544153,Returning,60.000
2018-01-08,6238567500,Returning,94.300
2018-01-08,6620139724,Returning,185.700
2018-01-08,269641941017,First-time,41.800
2018-01-08,3480161798,Returning,61.400
2018-01-08,6231276364,Returning,29.900
2018-01-08,202131374105,Returning,38.900
2018-01-08,5505243276,Returning,37.530
2018-01-08,5074267148,Returning,71.130
2018-01-08,6565264460,Returning,25.700
2018-01-08,4781854412,Returning,44.990
2018-01-08,6575931532,Returning,47.400
2018-01-08,273891557401,First-time,35.100
2018-01-08,4412257990,Returning,27.400
2018-01-08,273559846937,First-time,113.430
2018-01-08,190193270809,Returning,75.970
2018-01-08,4073871238,Returning,158.610
2018-01-08,6610144332,Returning,189.900
2018-01-08,241420206105,Returning,95.400
2018-01-08,5575777612,Returning,44.000
2018-01-08,5499697036,Returning,61.910
2018-01-08,113868079129,Returning,71.000
2018-01-08,5997192204,Returning,25.000
2018-01-08,273390927897,First-time,40.190
2018-01-08,129342210073,Returning,199.410
2018-01-08,6161961804,Returning,121.200
2018-01-08,4838051980,Returning,124.850
2018-01-08,190537465881,Returning,79.000
2018-01-08,273768579097,First-time,126.000
2018-01-08,4371409094,Returning,82.800
2018-01-08,273626464281,First-time,139.460
2018-01-08,47902457881,Returning,31.000
2018-01-08,6256233868,Returning,42.800
2018-01-09,229095014425,Returning,207.600
2018-01-09,6300100236,Returning,10.300
2018-01-09,275094700057,First-time,52.800
2018-01-09,5708680140,Returning,260.900
2018-01-09,275167641625,First-time,35.600
2018-01-09,190733058073,Returning,87.030
2018-01-09,6570658636,Returning,25.850
2018-01-09,274769149977,First-time,28.220
2018-01-09,274758139929,First-time,181.220
2018-01-09,5887208268,Returning,80.200
2018-01-09,107628298265,Returning,44.900
2018-01-09,275184156697,First-time,119.230
2018-01-09,148598423577,Returning,29.900
2018-01-09,6645358156,Returning,171.480
2018-01-09,220212428825,Returning,59.900
2018-01-09,3530435462,Returning,199.900
2018-01-09,5496356620,Returning,0.000
2018-01-09,267851661337,First-time,183.020
2018-01-09,274448678937,First-time,334.310
2018-01-09,5798820172,Returning,156.900
2018-01-09,120791629849,Returning,107.520
2018-01-09,109737345049,Returning,25.990
2018-01-09,275297435673,First-time,25.600
2018-01-09,5987677004,Returning,27.980
2018-01-09,265347825689,First-time,227.000
2018-01-09,250340376601,Returning,60.140
2018-01-09,5686034380,Returning,199.900
2018-01-09,5581032012,Returning,36.360
2018-01-09,6138616012,Returning,28.410
2018-01-09,219862106137,Returning,581.760
2018-01-09,8238071833,Returning,55.000
2018-01-09,6027538700,Returning,26.500
2018-01-09,274756894745,First-time,38.400
2018-01-09,274815418393,First-time,85.600
2018-01-09,5811670796,Returning,47.560
2018-01-09,5439119116,Returning,0.000
2018-01-09,274742968345,First-time,52.730
2018-01-09,63973949465,Returning,126.230
2018-01-09,275210928153,First-time,25.000
2018-01-09,274820136985,First-time,46.280
2018-01-09,275129729049,First-time,134.900
2018-01-09,152219222041,Returning,42.800
2018-01-09,253725376537,Returning,28.170
2018-01-09,196385046553,Returning,50.830
2018-01-10,274649645081,First-time,27.550
2018-01-10,273888116761,First-time,115.140
2018-01-10,275836731417,First-time,0.000
2018-01-10,276173651993,First-time,27.960
2018-01-10,4835870540,Returning,26.320
2018-01-10,6250457804,Returning,29.900
2018-01-10,67085762585,Returning,36.000
2018-01-10,276479967257,First-time,34.200
2018-01-10,275442303001,First-time,29.900
2018-01-10,138860199961,Returning,115.050
2018-01-10,82487115801,Returning,47.600
2018-01-10,6391643724,Returning,49.120
2018-01-10,160549896217,Returning,49.900
2018-01-10,6648942924,Returning,35.880
2018-01-10,103711375385,Returning,51.000
2018-01-10,3874973382,Returning,115.520
2018-01-10,6439183052,Returning,113.600
2018-01-10,242372739097,Returning,87.000
2018-01-10,103414661145,Returning,44.000
2018-01-10,4922056844,Returning,219.040
2018-01-10,6412161804,Returning,-22.400
2018-01-10,276267106329,First-time,51.100
2018-01-10,161648082969,Returning,49.930
2018-01-10,6124654220,Returning,182.100
2018-01-10,276170375193,First-time,72.000
2018-01-10,6495559500,Returning,41.200
2018-01-10,5370770956,Returning,76.450
2018-01-10,276397654041,First-time,83.000
2018-01-10,6232070028,Returning,194.900
2018-01-10,145639145497,Returning,113.000
2018-01-10,6338286924,Returning,140.600
2018-01-10,276253179929,First-time,37.800
2018-01-10,6161272844,Returning,43.960
2018-01-10,5488906956,Returning,120.680
2018-01-10,276447363097,First-time,132.600
2018-01-10,183546871833,Returning,139.300
2018-01-10,5585981708,Returning,90.000
2018-01-10,3982341702,Returning,46.820
2018-01-10,251411857433,Returning,30.000
2018-01-10,6486404172,Returning,29.800
2018-01-10,199457505305,Returning,174.800
2018-01-10,222111105049,Returning,28.580
2018-01-10,26905542681,Returning,59.800
2018-01-10,8957231129,Returning,49.120
2018-01-10,82359943193,Returning,61.620
2018-01-10,230694027289,Returning,29.000
2018-01-11,47675047961,Returning,29.640
2018-01-11,5986359052,Returning,49.000
2018-01-11,277418147865,First-time,0.000
2018-01-11,5496629900,Returning,0.000
2018-01-11,265446490137,First-time,42.690
2018-01-11,6396453260,Returning,83.520
2018-01-11,5496356620,Returning,189.900
2018-01-11,277169831961,First-time,138.000
2018-01-11,6469708364,Returning,47.000
2018-01-11,147149029401,Returning,88.000
2018-01-11,4895195148,Returning,80.370
2018-01-11,6595225036,Returning,180.240
2018-01-11,2535830598,Returning,34.400
2018-01-11,178300551193,First-time,85.220
2018-01-11,74500046873,Returning,279.680
2018-01-11,6161965260,Returning,136.800
2018-01-11,277740126233,First-time,39.800
2018-01-11,6110720396,Returning,25.500
2018-01-11,277445738521,First-time,28.750
2018-01-11,4835521804,Returning,29.900
2018-01-11,202717069337,Returning,44.500
2018-01-11,141921910809,Returning,25.000
2018-01-11,206517698585,Returning,59.400
2018-01-11,250176307225,Returning,113.680
2018-01-11,277838037017,First-time,64.790
2018-01-11,6479677772,Returning,27.060
2018-01-11,201956229145,Returning,169.230
2018-01-11,277739700249,First-time,189.910
2018-01-11,5228893900,Returning,68.740
2018-01-11,175602335769,Returning,95.400
2018-01-11,277963931673,First-time,25.420
2018-01-11,237621903385,Returning,55.650
2018-01-11,185285115929,Returning,54.640
2018-01-11,5652170124,Returning,82.000
2018-01-11,277449310233,First-time,0.000
2018-01-11,6265409036,Returning,124.200
2018-01-11,277715222553,Returning,227.050
2018-01-11,277639036953,First-time,189.910
2018-01-11,5320345740,Returning,27.550
2018-01-11,65798701081,Returning,108.000
2018-01-11,188112928793,Returning,40.450
2018-01-11,178878709785,Returning,67.500
2018-01-11,154878705689,Returning,57.650
2018-01-11,6228265292,Returning,157.700
2018-01-11,277858025497,First-time,103.920
2018-01-11,277628387353,First-time,30.800
2018-01-11,225214955545,Returning,32.590
2018-01-11,113783046169,Returning,86.790
2018-01-11,4391751110,Returning,85.000
2018-01-11,5569301388,Returning,227.550
2018-01-11,277555740697,First-time,140.200
2018-01-12,278647504921,First-time,60.600
2018-01-12,155756134425,Returning,29.300
2018-01-12,278910140441,First-time,106.500
2018-01-12,202292854809,Returning,56.940
2018-01-12,5740482892,Returning,-5.700
2018-01-12,241527291929,Returning,34.500
2018-01-12,170023125017,Returning,40.240
2018-01-12,223292162073,Returning,31.040
2018-01-12,4198260678,Returning,48.690
2018-01-12,129162772505,Returning,44.900
2018-01-12,5786940364,Returning,29.900
2018-01-12,184805785625,Returning,275.880
2018-01-12,154567475225,Returning,38.500
2018-01-12,6644801740,Returning,47.420
2018-01-12,186680082457,Returning,195.320
2018-01-12,78318272537,Returning,60.000
2018-01-12,146945212441,Returning,140.300
2018-01-12,5873940300,Returning,202.000
2018-01-12,233313959961,Returning,36.210
2018-01-12,279227629593,First-time,45.980
2018-01-12,265415360537,Returning,119.700
2018-01-12,217802965017,Returning,59.700
2018-01-12,29396959257,Returning,140.590
2018-01-12,276820688921,First-time,28.410
2018-01-12,186222116889,Returning,99.600
2018-01-12,277478146073,First-time,45.840
2018-01-12,4988458060,Returning,75.050
2018-01-12,243513950233,Returning,71.250
2018-01-12,279090790425,First-time,145.440
2018-01-12,5498139596,First-time,26.220
2018-01-12,277759819801,First-time,44.420
2018-01-12,180719714329,Returning,105.000
2018-01-12,75817517081,Returning,74.900
2018-01-12,208047800345,Returning,46.360
2018-01-12,6343317260,Returning,199.900
2018-01-12,279075782681,First-time,43.800
2018-01-13,5054838092,Returning,28.000
2018-01-13,180548993049,Returning,77.060
2018-01-13,74500046873,Returning,115.520
2018-01-13,27916206105,Returning,224.870
2018-01-13,280236064793,First-time,31.500
2018-01-13,5833729292,First-time,30.400
2018-01-13,6403787276,Returning,37.180
2018-01-13,6152712076,Returning,67.100
2018-01-13,96090292249,Returning,29.500
2018-01-13,251744682009,Returning,36.900
2018-01-13,109186646041,Returning,85.840
2018-01-13,250340376601,Returning,47.410
2018-01-13,5062768716,Returning,250.000
2018-01-13,280313954329,First-time,121.200
2018-01-13,138699964441,Returning,31.900
2018-01-13,280363532313,First-time,57.600
2018-01-13,125248307225,Returning,37.810
2018-01-13,280097685529,First-time,121.200
2018-01-13,279927029785,First-time,0.000
2018-01-13,279914086425,First-time,105.100
2018-01-13,230973014041,Returning,28.000
2018-01-13,205668352025,Returning,60.000
2018-01-13,72663531545,Returning,77.900
2018-01-13,41839755289,Returning,25.600
2018-01-13,3376058054,Returning,181.720
2018-01-13,268120588313,First-time,40.660
2018-01-13,5363057804,Returning,168.820
2018-01-13,5591327884,Returning,40.600
2018-01-13,3523411910,Returning,45.600
2018-01-13,6231713676,Returning,47.420
2018-01-13,185469206553,Returning,109.400
2018-01-13,270922809369,Returning,69.260
2018-01-13,213551317017,Returning,29.900
2018-01-14,281731596313,First-time,40.240
2018-01-14,281494487065,First-time,28.230
2018-01-14,6630261772,Returning,94.840
2018-01-14,281588760601,First-time,165.200
2018-01-14,166200147993,Returning,74.900
2018-01-14,5320345740,Returning,25.000
2018-01-14,137645228057,Returning,72.000
2018-01-14,258745171993,First-time,73.620
2018-01-14,3728246918,Returning,134.900
2018-01-14,281794019353,First-time,27.000
2018-01-14,4341970374,Returning,165.400
2018-01-14,281524600857,First-time,86.170
2018-01-14,140408094745,Returning,67.550
2018-01-14,174234501145,Returning,136.400
2018-01-14,166141460505,Returning,39.800
2018-01-14,29396959257,Returning,35.500
2018-01-14,6693596044,Returning,25.300
2018-01-14,5496356620,Returning,0.000
2018-01-14,3816003782,Returning,54.000
2018-01-14,243134857241,Returning,44.280
2018-01-14,281543409689,First-time,46.410
2018-01-14,217763479577,Returning,40.950
2018-01-14,152929697817,Returning,56.620
2018-01-14,188668674073,Returning,39.300
2018-01-14,224990003225,First-time,40.670
2018-01-14,4611687238,Returning,129.000
2018-01-14,3157696198,Returning,200.620
2018-01-14,281454673945,First-time,29.950
2018-01-14,281690144793,First-time,121.200
2018-01-14,5783938764,Returning,30.000
2018-01-14,3496989958,Returning,25.980
2018-01-14,6499022796,Returning,43.240
2018-01-14,3346527174,Returning,197.920
2018-01-14,281533382681,First-time,86.800
2018-01-14,162469576729,Returning,90.750
2018-01-14,6561049228,Returning,61.400
2018-01-14,281611042841,First-time,26.600
2018-01-14,6503960652,Returning,108.800
2018-01-14,6364634188,Returning,269.800
2018-01-14,6524743884,Returning,106.500
2018-01-14,281439371289,First-time,77.020
2018-01-14,275442303001,Returning,63.630
2018-01-14,4849435340,Returning,27.980
